timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1142,-1084,521,751,-3005,1816,2339,96,6102
1142,2438,4075,2534,-3804,-6208,-7515,-596,7877
1142,3583,3557,2055,-4050,-5214,-5469,-295,7323
1142,-1184,-484,411,-5710,3100,9487,486,7445
1142,-2583,-184,358,-4818,2517,7825,366,6678
1142,352,172,740,-5598,1394,7375,643,6408
1191,-1842,4905,4646,-850,-9030,-15498,-1423,7631
1191,-2456,3366,3553,-1760,-5955,-8828,-1016,6985
1191,-1011,-2147,114,-7780,5321,15733,-560,7826
1191,-3153,-1934,299,-7125,4696,13993,-241,10852
1191,-3656,-1230,902,-5911,2958,8711,-693,11098
1191,1810,-253,1097,-6287,1457,9355,667,4948
1191,3140,6,1156,-5263,939,7850,327,5898
1191,-4190,2839,3477,-5514,-6519,-6096,-575,6995
1191,-3842,2470,3240,-5383,-5508,-6022,-608,6365
1191,3499,-347,1003,-6759,1377,8017,966,1326
1239,248,3761,3969,-3257,-7271,-11316,-1474,9693
1239,-1232,1109,2384,-4593,-2244,-341,-652,8778
1239,-4367,-639,981,-6241,1506,7780,584,6522
1239,-4986,-731,1345,-6062,1317,6457,165,5917
1239,-3603,12,1998,-5330,-354,2254,-362,5434
1239,-1311,-2585,584,-7039,4845,14385,411,8433
1239,-458,-1773,603,-6776,3385,12160,323,6706
1239,-2605,-840,1634,-7126,803,6142,-43,5946
1239,-3404,-160,1769,-6349,-315,3421,-390,7031
1239,-1165,3621,3969,-4915,-6557,-8244,-748,6021
1287,-4642,2651,4141,-5042,-6281,-6980,-1186,8648
1287,-3904,-1660,1495,-7260,2302,10196,131,7526
1287,709,-721,2116,-6417,2205,6124,3596,5993
1287,171,-714,2073,-6359,1414,4900,4054,5058
1287,738,60,2276,-5542,-453,1339,2567,5203
1287,-2498,106,1984,-8390,310,6741,77,4902
1287,-1772,196,2086,-7839,46,5182,-237,2263
1287,-3147,-965,1466,-9810,2422,12832,-95,7404
1287,-4273,-866,1659,-9053,2237,9872,-748,6597
1287,-691,-295,2808,-6908,508,8025,6216,7698
1336,2639,2533,4262,-5397,-4955,-4886,-8778,5774
1336,573,-761,2488,-6533,1254,6043,-7103,5879
